material_id,pretty_formula,elements,count,density,elasticity.poisson_ratio,elasticity.K_VRH,melting_point,thermal_conductivity,radius,electronegativity,specific_heat,spacegroup.crystal_system,C11,C22,C33,C12,C13,C23,C44,C55,C66
mp-1007691,HfPt,"['Hf', 'Pt']","[1, 1]",16.38616664,0.36,179,2273.7,47.5,1.925,0.2434485,0.1395,orthorhombic,285,296,207,154,170,110,22,102,85
mp-1007923,CrNi3,"['Cr', 'Ni']","[1, 3]",8.618942366,0.29,222,1841,91.75,1.5325,0.143231425,0.45425,tetragonal,298,298,334,178,178,178,146,146,142
mp-1008555,AlCu3,"['Al', 'Cu']","[1, 3]",7.301685575,0.5,129,1251.695,358.75,1.3825,0.1508982,0.51375,cubic,111,111,111,137,137,137,82,82,82
mp-1014219,HfZn,"['Hf', 'Zn']","[1, 1]",11.23343354,0.31,105,1599.34,71.5,1.75,0.1925694,0.267,cubic,131,131,131,92,92,92,78,78,78
mp-1014231,Hf2Zn,"['Hf', 'Zn']","[2, 1]",11.75599546,0.27,109,1901.56,55.33333333,1.86,0.205041933,0.226666667,tetragonal,177,177,144,57,91,91,100,100,44
mp-1017529,VCo3,"['V', 'Co']","[1, 3]",8.670822015,0.27,297,1871.75,82.75,1.5675,0.139260825,0.46325,cubic,450,450,450,221,221,221,203,203,203
mp-1017540,ZrCd,"['Zr', 'Cd']","[1, 1]",7.546697535,0.31,83,1361.11,60,1.835,0.13764765,0.2565,tetragonal,152,152,110,49,59,59,49,49,19
mp-1017985,TiAg,"['Ti', 'Ag']","[1, 1]",7.340358692,0.36,111,1587.965,226,1.705,0.1352901,0.38,tetragonal,145,145,145,101,90,90,55,55,25
mp-1018026,LiAg,"['Li', 'Ag']","[1, 1]",5.7263111,0.34,44,844.31,257.5,1.66,0.12615475,1.863,tetragonal,50,50,70,36,40,40,22,22,26
mp-1018029,CuPd,"['Cu', 'Pd']","[1, 1]",10.26589677,0.35,141,1592.91,236,1.57,0.1475996,0.3145,cubic,162,162,162,131,131,131,93,93,93
mp-1018054,HfPt3,"['Hf', 'Pt']","[1, 3]",19.32649688,0.29,231,2157.55,59.75,1.8475,0.25017925,0.13625,cubic,354,354,354,169,169,169,131,131,131
mp-1018103,ZrAu2,"['Zr', 'Au']","[1, 2]",13.9510469,0.39,157,1600.886667,221,1.846666667,0.215876233,0.179666667,tetragonal,177,177,254,170,117,117,58,58,102
mp-1018104,Zr2Cd,"['Zr', 'Cd']","[2, 1]",7.235683329,0.34,78,1616.74,47.66666667,1.91,0.133394667,0.264666667,tetragonal,143,143,105,27,65,65,49,49,7
mp-1018123,TiAu2,"['Ti', 'Au']","[1, 2]",14.16267424,0.57,130,1538.553333,220.6666667,1.746666667,0.2153679,0.260333333,tetragonal,132,132,231,149,96,96,64,64,108
mp-1018128,ScAg2,"['Sc', 'Ag']","[1, 2]",7.528866831,0.3,86,1427.953333,292,1.713333333,0.137938767,0.343333333,tetragonal,107,107,153,78,64,64,48,48,73
mp-1018148,ScAu2,"['Sc', 'Au']","[1, 2]",12.93586171,0.32,107,1496.22,218.6666667,1.773333333,0.2140411,0.271333333,tetragonal,132,132,202,99,75,75,51,51,84
mp-1018149,ScCu2,"['Sc', 'Cu']","[1, 2]",6.252104019,0.33,115,1509.846667,272,1.58,0.1405755,0.442,tetragonal,141,141,193,98,94,94,47,47,86
mp-1018153,HfAu2,"['Hf', 'Au']","[1, 2]",16.85545337,0.48,166,1726.886667,221,1.853333333,0.250909,0.134666667,tetragonal,174,174,281,186,125,125,59,59,110
mp-1018154,Hf2Hg,"['Hf', 'Hg']","[2, 1]",14.04619704,0.29,99,1748.773333,18.1,1.956666667,0.209658,0.143333333,tetragonal,169,169,107,63,85,85,93,93,35
mp-1018166,AlTc2,"['Al', 'Tc']","[1, 2]",8.66348098,0.26,224,1931.156667,112.3333333,1.613333333,0.139665467,0.462,tetragonal,363,363,295,135,182,182,171,171,172
mp-1025223,Hf4Al3,"['Hf', 'Al']","[4, 3]",9.794990938,0.22,123,1832.058571,113.8571429,1.694285714,0.195740286,0.469142857,hexagonal,263,263,187,57,71,71,81,81,103
mp-1025551,GaPt,"['Ga', 'Pt']","[1, 1]",14.30206113,0.35,156,1172.155,50.5,1.565,0.21464365,0.2525,cubic,223,223,223,122,122,122,53,53,53
mp-1027,HfRh3,"['Hf', 'Rh']","[1, 3]",13.10440808,0.27,219,2304.25,118.25,1.8175,0.163125175,0.2195,cubic,327,327,327,165,165,165,148,148,148
mp-1033,BeNi,"['Be', 'Ni']","[1, 1]",6.359073941,0.56,185,1644,140.5,1.305,0.1460964,1.1335,cubic,145,145,145,204,204,204,137,137,137
mp-1038,MgCu2,"['Mg', 'Cu']","[1, 2]",5.816113247,0.32,94,1212.846667,320,1.45,0.141329067,0.598333333,cubic,131,131,131,76,76,76,46,46,46
mp-1039147,CaZn,"['Ca', 'Zn']","[1, 1]",3.448389141,0.31,57,903.84,160,1.68,0.13528185,0.5205,cubic,77,77,77,47,47,47,33,33,33
mp-1039148,CaMg,"['Ca', 'Mg']","[1, 1]",1.713629157,0.48,16,1019,180,1.695,0.11852795,0.839,cubic,11,11,11,18,18,18,23,23,23
mp-1052,NaAu2,"['Na', 'Au']","[1, 2]",10.95181723,0.34,69,1015.176667,260,1.793333333,0.205318,0.493333333,cubic,86,86,86,61,61,61,37,37,37
mp-1057,Al3Ni2,"['Al', 'Ni']","[3, 2]",4.767798907,0.23,130,1251.282,177.4,1.304,0.14892952,0.7172,trigonal,239,239,272,83,64,64,86,86,78
mp-10598,CuSn,"['Cu', 'Sn']","[1, 1]",7.865649928,0.31,77,931.425,233.5,1.45,0.1646118,0.3035,hexagonal,115,115,140,72,44,44,46,46,21
mp-1067,LiAl,"['Li', 'Al']","[1, 1]",1.754628439,0.18,50,693.58,160,1.425,0.1275855,2.1945,cubic,121,121,79,-7,35,35,60,60,21
mp-1073,CaCd,"['Ca', 'Cd']","[1, 1]",4.408705776,0.29,31,854.61,148.5,1.775,0.13290925,0.4425,cubic,39,39,39,26,26,26,28,28,28
mp-10890,LiAl3,"['Li', 'Al']","[1, 3]",2.237074984,0.22,64,813.525,197.5,1.3025,0.13883175,1.54725,cubic,135,135,135,29,29,29,38,38,38
mp-10901,Al3Pd2,"['Al', 'Pd']","[3, 2]",5.997110471,0.29,129,1291.302,169.8,1.384,0.14765784,0.6376,trigonal,207,207,247,87,81,81,61,61,60
mp-10904,AlPt,"['Al', 'Pt']","[1, 1]",12.40425435,0.32,184,1487.435,153.5,1.475,0.203494,0.5165,cubic,289,289,289,132,132,132,71,71,71
mp-10905,Al3Pt2,"['Al', 'Pt']","[3, 2]",9.60067116,0.29,153,1376.642,169.8,1.416,0.1928108,0.5932,trigonal,242,242,280,108,101,101,77,77,67
mp-10909,AlRe2,"['Al', 'Re']","[1, 2]",15.20720043,0.27,255,2617.156667,110.3333333,1.646666667,0.212370267,0.392,tetragonal,431,431,320,156,203,203,172,172,194
mp-10910,Al2Ru,"['Al', 'Ru']","[2, 1]",6.098591757,0.24,167,1491.313333,196.6666667,1.38,0.145935133,0.679333333,orthorhombic,309,363,332,84,69,101,116,94,70
mp-1121,GaCo,"['Ga', 'Co']","[1, 1]",8.876587419,0.33,176,1035.455,64.5,1.44,0.1578068,0.414,cubic,221,221,221,153,153,153,105,105,105
mp-11220,Sc2Al,"['Sc', 'Al']","[2, 1]",3.024174766,0.24,70,1520.49,89,1.62,0.129614867,0.670666667,hexagonal,133,133,138,61,28,28,47,47,36
mp-11227,Al12W,"['Al', 'W']","[12, 1]",3.857812654,0.24,92,1145.895385,230,1.237692308,0.156922031,0.841,cubic,168,168,168,53,53,53,56,56,56
mp-11228,YAl,"['Y', 'Al']","[1, 1]",3.879845028,0.26,60,1366.235,126,1.65,0.1358883,0.592,orthorhombic,127,133,56,30,52,49,36,67,49
mp-11229,YAl,"['Y', 'Al']","[1, 1]",4.104683242,0.27,65,1366.235,126,1.65,0.1358883,0.592,cubic,82,82,82,56,56,56,65,65,65
mp-11230,Y2Al,"['Y', 'Al']","[2, 1]",4.241096407,0.27,55,1510.49,89.66666667,1.806666667,0.1311584,0.489333333,orthorhombic,87,92,96,28,33,49,36,40,22
mp-11237,ScAg,"['Sc', 'Ag']","[1, 1]",6.20856059,0.33,82,1524.465,223,1.745,0.1332999,0.3965,cubic,108,108,108,69,69,69,45,45,45
mp-11239,ZrAg,"['Zr', 'Ag']","[1, 1]",8.085385116,0.31,106,1681.465,226.5,1.855,0.1360526,0.259,tetragonal,144,144,139,86,89,89,68,68,65
mp-11247,Li3Au,"['Li', 'Au']","[3, 1]",5.770881077,0.43,42,674.6,143.75,1.6875,0.14416225,2.649,cubic,41,41,41,43,43,43,28,28,28
mp-11248,LiAu3,"['Li', 'Au']","[1, 3]",14.68638086,0.39,99,1116.42,261.25,1.7225,0.22230075,0.969,cubic,119,119,119,89,89,89,34,34,34
mp-11252,MnAu2,"['Mn', 'Au']","[1, 2]",14.56527334,0.39,124,1397.886667,215.9333333,1.696666667,0.219341467,0.245,tetragonal,131,131,172,122,110,110,56,56,80
mp-11256,ScAu,"['Sc', 'Au']","[1, 1]",10.09937052,0.34,103,1575.665,168,1.79,0.19037665,0.3425,cubic,136,136,136,86,86,86,48,48,48
mp-11263,Zr3Au,"['Zr', 'Au']","[3, 1]",9.202326489,0.31,118,1930.3325,97.25,1.98,0.159009025,0.243,cubic,223,223,223,66,66,66,39,39,39
mp-11266,BaCd2,"['Ba', 'Cd']","[1, 2]",6.057559503,0.35,25,729.48,70.66666667,1.916666667,0.153163933,0.218666667,orthorhombic,39,31,53,19,12,22,9,6,7
mp-11267,BaHg2,"['Ba', 'Hg']","[1, 2]",8.68661896,0.4,24,489.5466667,11.53333333,1.983333333,0.165559533,0.156,hexagonal,26,45,45,13,17,29,5,2,3
mp-11270,MnBe2,"['Mn', 'Be']","[1, 2]",4.819797134,0.13,163,1546.333333,129.2666667,1.283333333,0.141752133,1.375,hexagonal,389,389,351,53,58,58,162,162,168
mp-11272,Be2Nb3,"['Be', 'Nb']","[2, 3]",6.853194406,0.3,165,2274,108.4,1.636,0.13484132,0.8904,tetragonal,262,263,263,115,115,119,89,79,79
mp-11273,Be3Nb,"['Be', 'Nb']","[3, 1]",4.710119679,0.18,155,1857.5,156,1.335,0.14075905,1.435,trigonal,309,309,308,72,80,80,141,141,118
mp-11274,BePd,"['Be', 'Pd']","[1, 1]",8.437278937,0.93,171,1694.025,131,1.405,0.1445068,1.034,cubic,124,124,124,194,194,194,78,78,78
mp-11275,Be2Re,"['Be', 'Re']","[2, 1]",11.4258383,0.21,242,2193,142.6666667,1.373333333,0.177829467,1.262,hexagonal,473,473,465,119,133,133,173,173,177
mp-11276,BeRh,"['Be', 'Rh']","[1, 1]",8.590553768,0.29,207,1898.5,170,1.425,0.14291195,1.034,cubic,370,370,370,125,125,125,87,87,87
mp-11277,ScBe5,"['Sc', 'Be']","[1, 5]",2.397614043,0.14,108,1602.333333,161,1.24,0.140718883,1.612666667,hexagonal,221,221,270,65,33,33,131,131,78
mp-11278,Ta2Be,"['Ta', 'Be']","[2, 1]",13.76091757,0.24,187,2713.333333,101.3333333,1.706666667,0.204716,0.701333333,tetragonal,322,314,314,124,124,118,128,134,134
mp-11279,TiBe,"['Ti', 'Be']","[1, 1]",3.752193567,0.25,126,1750.5,106,1.44,0.13417485,1.1735,cubic,179,179,179,99,99,99,113,113,113
mp-11281,Be2V,"['Be', 'V']","[2, 1]",3.936240136,0.17,160,1767.666667,137,1.316666667,0.139102133,1.377666667,hexagonal,349,349,350,59,68,68,130,130,145
mp-11282,Be2W,"['Be', 'W']","[2, 1]",10.61119788,0.19,218,2271.666667,183.3333333,1.39,0.1763408,1.260333333,hexagonal,449,449,440,96,108,108,165,165,177
mp-11283,ZrBe5,"['Zr', 'Be']","[1, 5]",3.623393534,0.16,126,1654.666667,162.1666667,1.276666667,0.14163645,1.566833333,hexagonal,244,244,260,84,55,55,158,158,80
mp-11284,CaGa2,"['Ca', 'Ga']","[1, 2]",4.589510607,0.16,47,573.6066667,86,1.553333333,0.153388833,0.465666667,hexagonal,108,108,66,32,23,23,53,53,38
mp-11286,CaHg,"['Ca', 'Hg']","[1, 1]",7.215030383,0.27,35,674.66,104.15,1.825,0.14220595,0.3955,cubic,52,52,52,26,26,26,26,26,26
mp-11287,CaHg2,"['Ca', 'Hg']","[1, 2]",9.287406058,0.31,38,527.88,72.2,1.786666667,0.1511373,0.309666667,hexagonal,83,83,46,43,17,17,11,11,20
mp-11288,Ca3Hg2,"['Ca', 'Hg']","[3, 2]",5.581052688,0.33,30,762.728,123.32,1.848,0.13684714,0.447,tetragonal,36,42,42,27,27,22,11,19,19
mp-11290,CaSn3,"['Ca', 'Sn']","[1, 3]",6.028707655,0.25,43,657.56,100.25,1.5725,0.162391975,0.32975,cubic,73,73,73,28,28,28,29,29,29
mp-11299,Cd2Hg,"['Cd', 'Hg']","[2, 1]",9.769112417,0.34,37,474.2533333,67.43333333,1.643333333,0.1566044,0.200666667,tetragonal,42,42,102,30,27,27,15,15,11
mp-11313,ZrCd3,"['Zr', 'Cd']","[1, 3]",8.172109088,0.34,77,977.665,78.5,1.7225,0.144027125,0.24425,cubic,92,92,92,70,70,70,51,51,51
mp-11359,Ga2Cu,"['Ga', 'Cu']","[2, 1]",7.089287099,0.29,78,654.53,152.6666667,1.39,0.165308733,0.376333333,tetragonal,108,108,174,62,48,48,35,35,45
mp-11385,YFe5,"['Y', 'Fe']","[1, 5]",7.107153348,0.23,105,1809,69.5,1.653333333,0.136327433,0.4165,hexagonal,172,172,254,44,71,71,70,70,64
mp-11387,HfGa3,"['Hf', 'Ga']","[1, 3]",9.296638516,0.22,102,853.6825,27.5,1.54,0.186779725,0.3155,tetragonal,174,174,184,92,52,52,73,73,113
mp-11388,GaIr,"['Ga', 'Ir']","[1, 1]",15.17358645,0.36,217,1520.955,89.5,1.58,0.21171865,0.2525,cubic,321,321,321,165,165,165,62,62,62
mp-1139,Co3Mo,"['Co', 'Mo']","[3, 1]",9.788205563,0.28,260,2050,109.75,1.615,0.140244025,0.40475,hexagonal,452,452,501,179,145,145,113,113,137
mp-11393,Nb3Ga2,"['Nb', 'Ga']","[3, 2]",8.136717878,0.26,167,1771.164,44,1.732,0.14579784,0.3096,tetragonal,257,279,279,113,113,119,95,121,121
mp-11397,Ga3Ni2,"['Ga', 'Ni']","[3, 2]",7.682461869,0.28,123,872.946,53.8,1.412,0.1623091,0.4004,trigonal,198,198,260,82,73,73,59,59,58
mp-11411,ScGa,"['Sc', 'Ga']","[1, 1]",4.705646546,0.26,76,1058.455,22.5,1.6,0.1458803,0.464,orthorhombic,98,169,119,40,73,38,41,81,38
mp-11412,ScGa2,"['Sc', 'Ga']","[1, 2]",5.617118533,0.26,80,806.6066667,24.66666667,1.52,0.154712633,0.433333333,orthorhombic,135,128,141,35,62,65,42,62,56
mp-11416,TaGa3,"['Ta', 'Ga']","[1, 3]",10.06594108,0.2,106,1049.6825,36,1.52,0.187928225,0.314,tetragonal,196,196,251,65,46,46,69,69,108
mp-11441,Hf2Ga3,"['Hf', 'Ga']","[2, 3]",10.56715015,0.27,117,1184.146,26.6,1.648,0.19542118,0.2816,orthorhombic,220,216,191,63,63,86,68,68,49
mp-11449,HfMn2,"['Hf', 'Mn']","[1, 2]",11.30554994,0.37,192,1848,12.86666667,1.766666667,0.166851933,0.366666667,hexagonal,266,266,286,193,133,133,62,62,36
mp-11453,HfPd3,"['Hf', 'Pd']","[1, 3]",12.76541269,0.3,179,1997.5375,59.75,1.7875,0.16551745,0.2195,hexagonal,304,304,312,122,111,111,72,72,91
mp-11454,Hf2Pd,"['Hf', 'Pd']","[2, 1]",13.11480888,0.32,137,2280.016667,39.33333333,1.95,0.201333867,0.178666667,tetragonal,224,224,153,87,117,117,73,73,61
mp-11456,HfPt3,"['Hf', 'Pt']","[1, 3]",19.26316922,0.3,233,2157.55,59.75,1.8475,0.25017925,0.13625,hexagonal,388,388,398,163,149,149,91,91,113
mp-11457,HfRh,"['Hf', 'Rh']","[1, 1]",13.27764394,0.43,179,2371.5,86.5,1.905,0.18541245,0.195,cubic,190,190,190,173,173,173,53,53,53
mp-11460,HfTc,"['Hf', 'Tc']","[1, 1]",13.17873126,0.33,192,2468,37,1.955,0.1822231,0.1945,cubic,330,330,330,123,123,123,61,61,61
mp-11465,Mg5Hg3,"['Mg', 'Hg']","[5, 3]",6.747906664,0.28,43,664.745,103.1125,1.5475,0.1394025,0.692375,hexagonal,81,81,70,36,21,21,18,18,23
mp-11466,NaHg2,"['Na', 'Hg']","[1, 2]",8.971720872,0.44,15,279.8366667,52.2,1.773333333,0.143738,0.499333333,hexagonal,47,47,7,36,8,8,0,0,5
mp-11471,ScHg,"['Sc', 'Hg']","[1, 1]",9.281450893,0.33,76,1024.16,12.15,1.775,0.14419165,0.347,cubic,94,94,94,67,67,67,48,48,48
mp-1159,Zr2Fe,"['Zr', 'Fe']","[2, 1]",7.001339737,0.38,124,2022.333333,42,1.893333333,0.129676867,0.335,tetragonal,200,178,178,75,75,132,36,24,24
mp-11644,Li2Ca,"['Li', 'Ca']","[2, 1]",1.077138599,0.29,16,674.1266667,123.3333333,1.76,0.108532633,2.543666667,cubic,25,25,25,12,12,12,8,8,8
mp-1169,ScCu,"['Sc', 'Cu']","[1, 1]",5.222540494,0.28,81,1585.885,208,1.645,0.13527745,0.4705,cubic,127,127,127,58,58,58,50,50,50
mp-11809,TiAl2,"['Ti', 'Al']","[1, 2]",3.534126301,0.2,108,1269.313333,164,1.373333333,0.141173233,0.774333333,orthorhombic,189,209,201,62,70,56,80,96,98
mp-11820,BaNa2,"['Ba', 'Na']","[1, 2]",2.217756088,0.21,8,580.58,99.33333333,2.11,0.115035533,0.878666667,hexagonal,15,15,18,5,3,3,5,5,5
mp-11826,CaPd5,"['Ca', 'Pd']","[1, 5]",8.542681858,0.31,113,1709.208333,93.33333333,1.731666667,0.139258317,0.312166667,hexagonal,172,172,213,79,78,78,48,48,46
mp-1194,CdPt,"['Cd', 'Pt']","[1, 1]",14.47374823,0.34,137,1317.81,84.5,1.69,0.2036583,0.1825,tetragonal,204,204,181,82,120,120,63,63,38
mp-12083,CrIr3,"['Cr', 'Ir']","[1, 3]",18.64843894,0.22,307,2599.25,136,1.765,0.221121325,0.22175,cubic,521,521,521,200,200,200,259,259,259
mp-12086,Cu3Pt,"['Cu', 'Pt']","[3, 1]",12.41322548,0.35,159,1528.6775,318,1.53,0.1776062,0.322,cubic,196,196,196,141,141,141,80,80,80
mp-1209,RbAu5,"['Rb', 'Au']","[1, 5]",12.94885598,0.34,63,1166.518333,276.3333333,1.891666667,0.235256,0.1675,hexagonal,84,84,162,37,88,88,34,34,23
mp-1211,ScCd,"['Sc', 'Cd']","[1, 1]",5.855860322,0.3,67,1204.11,56.5,1.725,0.13489495,0.394,cubic,83,83,83,59,59,59,56,56,56
mp-1219,BaGa2,"['Ba', 'Ga']","[1, 2]",5.173339705,0.22,35,535.2733333,25.33333333,1.75,0.167811067,0.312,hexagonal,75,75,64,27,13,13,22,22,24
mp-1220,Be5Au,"['Be', 'Au']","[5, 1]",7.014958352,0.16,138,1522.888333,211.6666667,1.223333333,0.164383333,1.5415,cubic,312,312,312,51,51,51,113,113,113
mp-1233,Cu6Sn5,"['Cu', 'Sn']","[6, 5]",8.061011197,0.3,81,970.1836364,248.6363636,1.45,0.163389964,0.310909091,monoclinic,136,131,126,56,58,56,32,39,40
mp-12546,TiCu3,"['Ti', 'Cu']","[1, 3]",7.648117875,0.34,140,1503.5775,305.5,1.5275,0.144219625,0.4195,orthorhombic,227,203,259,127,71,86,46,34,56
mp-12565,MnAu4,"['Mn', 'Au']","[1, 4]",16.06888246,0.39,129,1373.664,257.56,1.714,0.23615288,0.1986,tetragonal,149,162,162,119,119,104,29,48,48
mp-12585,CrRh3,"['Cr', 'Rh']","[1, 3]",10.8454627,0.23,230,2222.75,136,1.7125,0.13845475,0.305,cubic,374,374,374,158,158,158,189,189,189
mp-12608,CuPt7,"['Cu', 'Pt']","[1, 7]",19.40823028,0.36,245,1955.94625,113,1.73,0.2436927,0.1645,cubic,321,321,321,207,207,207,87,87,87
mp-12614,Ca2Cu,"['Ca', 'Cu']","[2, 1]",2.62950025,0.29,25,1195.923333,266.6666667,1.776666667,0.1273318,0.563666667,orthorhombic,38,40,41,14,19,20,10,18,13
mp-12635,TiAu4,"['Ti', 'Au']","[1, 4]",15.86669091,0.38,144,1458.064,260.4,1.744,0.23376874,0.2078,tetragonal,167,182,182,135,135,112,43,66,66
mp-1264,CdAu3,"['Cd', 'Au']","[1, 3]",15.58540193,0.44,117,1151.5525,264.25,1.7075,0.23362915,0.15475,cubic,125,125,125,113,113,113,26,26,26
mp-12648,Ti2Be17,"['Ti', 'Be']","[2, 17]",2.478861659,0.09,127,1600.105263,172.3157895,1.187368421,0.142709968,1.687052632,trigonal,316,316,327,41,26,26,145,145,138
mp-12657,HfAl2,"['Hf', 'Al']","[1, 2]",7.417121002,0.21,120,1457.646667,164.3333333,1.48,0.176714333,0.648666667,hexagonal,246,246,219,52,67,67,84,84,97
mp-12699,Ca3Au4,"['Ca', 'Au']","[3, 4]",8.999980284,0.35,51,1242.045714,268.5714286,1.825714286,0.198816529,0.353571429,trigonal,71,71,78,40,40,40,19,19,15
mp-12723,CaAu,"['Ca', 'Au']","[1, 1]",7.570066135,0.33,47,1226.165,260,1.84,0.18839095,0.391,orthorhombic,71,73,55,44,39,33,16,28,24
mp-12752,Zr4Al3,"['Zr', 'Al']","[4, 3]",5.30173904,0.21,108,1616.058571,113.8571429,1.682857143,0.135684114,0.546285714,hexagonal,218,218,208,43,61,61,70,70,87
mp-12761,BeAu2,"['Be', 'Au']","[1, 2]",15.1411239,0.4,137,1411.553333,276.6666667,1.533333333,0.222575333,0.694,tetragonal,202,202,145,110,120,120,33,33,26
